id,japanese,english,words,difficulty,jlpt_level,domain,created_at,grammar_points
c8c05419-6244-4a78-a2e8-d39231ecc8c2,あの人は学生です。,That person is a student.,"[{""word"":""学生"",""meaning"":""student"",""furigana"":""がくせい""}]",1,N5,Daily Life & Housing,2026-05-14 02:54:54.531826+00,[]
f49aa48b-9983-49a9-b8d1-9df00b247a22,本をよみます。,I read a book.,"[{""word"":""本"",""meaning"":""book"",""furigana"":""ほん""},{""word"":""読む"",""meaning"":""to read"",""furigana"":""よむ""}]",1,N5,Entertainment: Anime & Manga,2026-05-14 02:54:54.531826+00,[]
423290a6-e33c-46d3-a9f0-704f5a036c9d,黄色い花です。,It's a yellow flower.,"[{""word"":""黄色い"",""meaning"":""yellow"",""furigana"":""きいろい""}]",1,N5,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
09896e5f-a169-4efd-9973-a2dfea11b29a,緑の木が多いです。,There are many green trees.,"[{""word"":""緑"",""meaning"":""green"",""furigana"":""みどり""}]",1,N5,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
2be2384d-46e1-412f-abda-3b9d1a216362,七つください。,Seven please.,"[{""word"":""七つ"",""meaning"":""seven"",""furigana"":""ななつ""}]",1,N5,Food & Drink: Restaurants,2026-05-14 02:54:54.531826+00,[]
58f1eba1-685a-44e9-bea3-296ff23c0764,この車は銀色です。,This car is silver.,"[{""word"":""銀色"",""meaning"":""silver"",""furigana"":""ぎんいろ""}]",1,N4,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
e880df20-59e3-45e8-8e9d-a974cc2437fc,やまにのぼります。,I climb a mountain.,"[{""word"":""山"",""meaning"":""mountain"",""furigana"":""やま""}]",1,N5,Travel: Sightseeing,2026-05-14 02:54:54.531826+00,[]
b0065384-b6de-425c-ab5b-aa004b0bf304,明るい色が好きです。,I like bright colors.,"[{""word"":""明るい"",""meaning"":""bright"",""furigana"":""あかるい""}]",1,N4,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
6495611d-4aa5-423f-8ef7-f212761b98d8,おおきいいえですね。,"It's a big house, isn't it?","[{""word"":""大きい"",""meaning"":""big"",""furigana"":""おおきい""}]",1,N5,Daily Life & Housing,2026-05-14 02:54:54.531826+00,[]
44c71b07-5953-41d0-9994-aa69b0591d78,暗い色は落ち着きます。,Dark colors feel calm.,"[{""word"":""暗い"",""meaning"":""adjective"",""furigana"":""くらい""},{""word"":""色"",""meaning"":""noun"",""furigana"":""いろ""},{""word"":""は"",""meaning"":""topic marker"",""furigana"":""は""},{""word"":""落ち着き"",""meaning"":""verb"",""furigana"":""おちつき""},{""word"":""ます"",""meaning"":""auxiliary verb"",""furigana"":""ます""}]",1,N4,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
